name,gene,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000078808,SDF4,6014,12317,4958,3985,2928,3389,3275,4731,4274,3450
ENSG00000176022,B3GALT6,776,1578,878,453,327,322,264,562,426,335
ENSG00000184163,C1QTNF12,80,445,51,151,36,43,35,52,38,25
ENSG00000260179,ENSG00000260179,20,21,17,7,5,31,13,24,16,21
ENSG00000160087,UBE2J2,1410,3144,1367,1072,1168,1042,1231,1557,1553,1320
ENSG00000230415,LINC01786,73,74,31,48,36,32,43,55,52,39
ENSG00000162572,SCNN1D,727,1042,401,369,424,335,393,425,340,243
ENSG00000131584,ACAP3,5993,7238,4048,2663,2803,3475,4073,4175,5038,4314
ENSG00000278073,MIR6726,0,0,0,0,0,0,0,0,0,0
ENSG00000169972,PUSL1,301,642,391,188,382,244,261,279,266,230
ENSG00000127054,INTS11,4887,7333,4009,2950,3162,3003,3193,3886,3712,3139
ENSG00000283712,MIR6727,0,0,0,0,0,0,0,0,0,0
ENSG00000240731,ENSG00000240731,189,249,143,123,118,122,110,102,142,75
ENSG00000224051,CPTP,915,1352,1049,574,588,328,427,546,566,405
ENSG00000169962,TAS1R3,554,541,140,31,129,55,66,88,73,85
ENSG00000107404,DVL1,2344,4286,2381,2085,1422,1075,1113,1550,1407,1030
ENSG00000284372,MIR6808,0,0,0,0,0,0,0,0,0,0
ENSG00000162576,MXRA8,8884,32992,2528,1097,1386,288,401,304,369,364
ENSG00000175756,AURKAIP1,1361,2725,1661,1033,1070,944,1071,1541,1183,1050
ENSG00000223663,NDUFB4P8,4,0,2,0,0,0,0,1,2,1
ENSG00000221978,CCNL2,16852,23431,9384,8364,5845,6718,6983,7446,7442,5575
ENSG00000224870,MRPL20-AS1,679,1048,870,396,401,321,440,672,577,429
ENSG00000242485,MRPL20,1427,3122,1332,792,1086,923,1127,1388,1150,1091
ENSG00000264293,RN7SL657P,0,0,0,0,0,0,0,0,0,0
ENSG00000272455,MRPL20-DT,205,244,158,59,130,44,56,65,57,37
ENSG00000235098,ANKRD65,910,2112,1358,715,329,5,5,6,4,5
ENSG00000225905,ANKRD65-AS1,24,37,26,27,14,1,1,1,1,0
ENSG00000205116,TMEM88B,11,11,32,3,3,0,0,0,0,0
ENSG00000225285,LINC01770,137,112,76,16,27,2,0,1,0,0
ENSG00000179403,VWA1,5625,4483,3582,873,1341,0,0,1,0,0
ENSG00000215915,ATAD3C,554,198,265,124,180,20,21,5,25,14
ENSG00000160072,ATAD3B,2324,3279,1974,1295,1739,1234,1199,1731,1426,1148
ENSG00000284740,ENSG00000284740,15,49,35,19,20,1,5,3,8,3
ENSG00000197785,ATAD3A,968,1878,1239,667,654,344,452,559,515,359
ENSG00000205090,TMEM240,103,218,51,20,11,10,4,13,9,7
ENSG00000160075,SSU72,2900,4533,2788,1658,1903,2553,2208,3042,2714,2521
ENSG00000215014,ENSG00000215014,12,22,27,15,6,33,17,19,18,35
ENSG00000274481,ENSG00000274481,0,0,0,0,0,0,0,0,0,0
ENSG00000228594,FNDC10,375,573,1277,317,111,171,178,202,155,193
ENSG00000272106,ENSG00000272106,316,369,178,79,76,220,181,275,191,216
ENSG00000197530,MIB2,4888,7041,2308,2164,1721,2738,1840,4458,3993,3664
ENSG00000189409,MMP23B,112,127,23,6,11,26,4,41,43,28
ENSG00000248333,CDK11B,1458,2125,1058,727,690,1321,1209,1477,1378,1057
ENSG00000272004,ENSG00000272004,2,4,4,2,0,0,2,2,0,1
ENSG00000189339,SLC35E2B,2707,4376,1857,1186,1606,2212,2472,3275,3611,2631
ENSG00000269737,ENSG00000269737,128,161,114,51,67,234,213,266,191,200
ENSG00000215914,MMP23A,9,21,13,0,1,15,30,18,15,9
ENSG00000008128,CDK11A,320,350,162,161,137,448,352,425,389,271
ENSG00000268575,ENSG00000268575,149,143,105,75,39,173,189,232,230,153
ENSG00000227775,ENSG00000227775,39,43,28,35,9,19,17,26,25,19
ENSG00000215790,SLC35E2A,1509,2285,1093,225,335,896,1011,1368,591,941
ENSG00000008130,NADK,2853,4519,2497,1492,1362,4480,5365,6368,6515,5986
ENSG00000078369,GNB1,9781,25109,10419,7264,5357,9821,8782,11455,11169,9954
ENSG00000231050,GNB1-DT,7,19,5,16,13,3,5,10,8,4
