name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000144674,GOLGA4,3927.4,2439.4,1488,0.61,-0.7,2.8e-4,1,0.001,5,2422,2304,2746,1990,2735,1562,1512,1391,1647,1328
ENSG00000167182,SP2,2309.4,869.4,1440,1.657,0.7,2.8e-4,1,0.001,5,903,853,842,1033,716,1404,1335,1363,1560,1538
ENSG00000147485,PXDNL,94.6,83.8,10.8,0.129,-3,2.8e-4,1,0.001,5,34,103,121,29,132,5,11,15,5,18
ENSG00000116299,ELAPOR1,2077.4,1827.2,250.2,0.137,-2.9,2.8e-4,1,0.001,5,595,1053,2362,646,4480,269,278,300,238,166
ENSG00000127074,RGS13,57.8,54.8,3,0.061,-4,2.8e-4,1,0.001,5,104,87,25,25,33,2,1,10,0,2
ENSG00000109320,NFKB1,4704,1872.6,2831.4,1.512,0.6,2.8e-4,1,0.001,5,1926,1953,1874,1886,1724,3021,2939,2937,2679,2581
ENSG00000081377,CDC14B,1049.4,706.2,343.2,0.486,-1,2.8e-4,1,0.001,5,725,763,740,592,711,338,346,415,399,218
ENSG00000223749,MIR503HG,266.6,244.2,22.4,0.091,-3.5,2.8e-4,1,0.001,5,231,469,87,61,373,11,37,11,15,38
ENSG00000110921,MVK,980.8,711,269.8,0.38,-1.4,2.8e-4,1,0.001,5,550,517,794,566,1128,187,234,296,334,298
ENSG00000099785,MARCHF2,3232.2,950,2282.2,2.402,1.3,2.8e-4,1,0.001,5,1092,1235,895,1054,474,2458,2875,2137,1881,2060
ENSG00000091129,NRCAM,775.2,744.6,30.6,0.041,-4.6,2.8e-4,1,0.001,5,262,341,2135,562,423,42,83,15,7,6
ENSG00000144199,FAHD2B,514.4,388,126.4,0.327,-1.6,2.8e-4,1,0.001,5,312,298,364,463,503,140,139,167,131,55
ENSG00000155792,DEPTOR,371.6,325,46.6,0.143,-2.8,2.8e-4,1,0.001,5,254,424,165,102,680,43,70,24,32,64
ENSG00000111729,CLEC4A,134.4,15,119.4,7.583,2.9,2.8e-4,1,0.001,5,24,28,15,4,4,106,145,66,109,171
ENSG00000237296,SMG1P1,307.2,78.6,228.6,2.91,1.5,2.8e-4,1,0.001,5,63,66,51,110,103,304,209,172,230,228
ENSG00000115233,PSMD14,2058.8,1471,587.8,0.4,-1.3,2.8e-4,1,0.001,5,740,1323,1316,2197,1779,553,533,656,628,569
ENSG00000275620,FLJ16779,82.4,82.4,0,0.002,-9.4,2.8e-4,1,0.001,5,20,201,75,101,15,0,0,0,0,0
ENSG00000023516,AKAP11,3260.2,1171.4,2088.8,1.783,0.8,2.8e-4,1,0.001,5,916,1544,1147,1251,999,2211,1977,1978,2264,2014
ENSG00000159423,ALDH4A1,651,491.4,159.6,0.326,-1.6,2.8e-4,1,0.001,5,550,258,601,697,351,129,160,127,148,234
ENSG00000101265,RASSF2,11467.6,1702.8,9764.8,5.729,2.5,2.8e-4,1,0.001,5,2928,2818,1680,468,620,9193,10289,7758,9355,12229
ENSG00000261971,MMP25-AS1,1540.2,502.2,1038,2.066,1,2.8e-4,1,0.001,5,752,372,490,402,495,1031,978,1075,1128,978
ENSG00000006757,PNPLA4,601.2,419,182.2,0.435,-1.2,2.8e-4,1,0.001,5,331,414,321,603,426,195,195,189,140,192
ENSG00000139531,SUOX,1179.6,861.4,318.2,0.37,-1.4,2.8e-4,1,0.001,5,1130,582,980,464,1151,316,335,272,270,398
ENSG00000265354,TIMM23,1319,821.8,497.2,0.605,-0.7,2.8e-4,1,0.001,5,718,849,898,848,796,467,500,531,515,473
ENSG00000111331,OAS3,4716,1399,3317,2.37,1.2,2.9e-4,1,0.001,5,1458,2008,1123,1523,883,2892,2472,4491,3651,3079
ENSG00000228363,CHMP3-AS1,264.4,28.8,235.6,8.283,3.1,2.9e-4,1,0.001,5,5,16,19,51,53,400,226,194,201,157
ENSG00000230225,MTND5P14,44.8,2.6,42.2,17.753,4.1,2.9e-4,1,0.001,5,0,1,0,10,2,43,34,29,29,76
ENSG00000140284,SLC27A2,119,107.6,11.4,0.108,-3.2,2.9e-4,1,0.001,5,33,71,66,115,253,7,25,11,8,6
ENSG00000260942,CAPN10-DT,232,168.6,63.4,0.378,-1.4,2.9e-4,1,0.001,5,232,159,198,145,109,60,59,68,75,55
ENSG00000228069,MTCO3P29,38,5.2,32.8,6.372,2.7,2.9e-4,1,0.001,5,6,4,0,10,6,40,39,23,30,32
ENSG00000203883,SOX18,707.6,707.6,0,0,-12.5,2.9e-4,1,0.001,5,2547,225,441,76,249,0,0,0,0,0
ENSG00000102245,CD40LG,546.4,67.2,479.2,7.127,2.8,2.9e-4,1,0.001,5,108,41,112,12,63,503,536,582,591,184
ENSG00000123179,EBPL,705.6,491,214.6,0.437,-1.2,2.9e-4,1,0.001,5,411,377,418,670,579,265,208,235,168,197
ENSG00000095637,SORBS1,699.8,666.2,33.6,0.05,-4.3,2.9e-4,1,0.001,5,1469,1392,261,101,108,44,38,38,28,20
ENSG00000143228,NUF2,326.2,285.4,40.8,0.144,-2.8,2.9e-4,1,0.001,5,40,271,314,435,367,39,36,62,41,26
ENSG00000187742,SECISBP2,5306.4,1789.2,3517.2,1.966,1,2.9e-4,1,0.001,6,2525,1677,1549,1936,1259,4125,3492,3242,3516,3211
ENSG00000166295,ANAPC16,4469.8,1638.8,2831,1.727,0.8,2.9e-4,1,0.001,6,1993,1461,1937,1366,1437,3105,2644,3048,2779,2579
ENSG00000107290,SETX,9317.4,3390.4,5927,1.748,0.8,2.9e-4,1,0.001,6,3041,2975,2819,3886,4231,5618,5480,5624,6696,6217
ENSG00000172232,AZU1,37,2.2,34.8,13.006,3.7,2.9e-4,1,0.001,6,4,3,4,0,0,44,67,13,16,34
ENSG00000257621,PSMA3-AS1,5330,1750.4,3579.6,2.044,1,2.9e-4,1,0.001,6,2651,1773,1500,1236,1592,3988,3667,3377,3163,3703
ENSG00000134369,NAV1,3342.4,2831.6,510.8,0.18,-2.5,2.9e-4,1,0.001,6,2778,3037,1620,5918,805,682,706,347,331,488
ENSG00000218891,ZNF579,624.6,447.4,177.2,0.396,-1.3,2.9e-4,1,0.001,6,424,471,396,290,656,180,182,199,204,121
ENSG00000065357,DGKA,13755.4,3704.6,10050.8,2.714,1.4,2.9e-4,1,0.001,6,3193,2502,4573,5519,2736,10736,12303,12276,9102,5837
ENSG00000205231,TTLL10-AS1,21,18.4,2.6,0.152,-2.7,2.9e-4,1,0.001,6,19,12,31,15,15,1,7,3,1,1
ENSG00000136153,LMO7,2204,1790.8,413.2,0.231,-2.1,2.9e-4,1,0.001,6,1155,3453,930,1226,2190,620,448,447,352,199
ENSG00000119411,BSPRY,174.2,146.8,27.4,0.187,-2.4,2.9e-4,1,0.001,6,162,137,243,90,102,43,24,37,7,26
ENSG00000151135,TMEM263,1418.8,1041,377.8,0.363,-1.5,2.9e-4,1,0.001,6,746,1194,1252,671,1342,433,413,471,374,198
ENSG00000198363,ASPH,5765.2,4931.8,833.4,0.169,-2.6,2.9e-4,1,0.001,6,2419,3134,12412,4076,2618,808,989,478,591,1301
ENSG00000177830,CHID1,2120.8,1417.8,703,0.496,-1,2.9e-4,1,0.001,6,1748,1660,1579,871,1231,719,669,705,647,775
ENSG00000093217,XYLB,271.4,200.4,71,0.355,-1.5,2.9e-4,1,0.001,6,180,129,311,180,202,59,77,70,60,89
ENSG00000156239,N6AMT1,381.6,281.2,100.4,0.358,-1.5,2.9e-4,1,0.001,6,359,279,270,334,164,110,78,121,123,70
ENSG00000213390,ARHGAP19,1178.8,409.4,769.4,1.879,0.9,2.9e-4,1,0.001,6,419,364,401,352,511,712,808,622,778,927
ENSG00000105483,CARD8,7304.8,1624.4,5680.4,3.495,1.8,2.9e-4,1,0.001,6,3143,1801,1424,652,1102,5615,5602,4811,6122,6252
ENSG00000023191,RNH1,7103.8,2742,4361.8,1.591,0.7,2.9e-4,1,0.001,6,2969,2614,2697,2960,2470,4303,4179,3874,4295,5158
ENSG00000160345,PIERCE1,80.2,61.6,18.6,0.304,-1.7,2.9e-4,1,0.001,6,60,49,78,72,49,27,26,16,13,11
ENSG00000137343,ATAT1,357.8,247.4,110.4,0.447,-1.2,2.9e-4,1,0.001,6,199,265,273,189,311,109,114,105,115,109
ENSG00000142185,TRPM2,1962.6,598.4,1364.2,2.278,1.2,2.9e-4,1,0.001,6,641,773,504,682,392,943,1523,1125,1589,1641
ENSG00000245748,ENSG00000245748,52.2,10.8,41.4,3.857,1.9,2.9e-4,1,0.001,6,9,6,7,15,17,51,51,40,40,25
ENSG00000198680,TUSC1,284,251.2,32.8,0.13,-2.9,3e-4,1,0.001,6,265,404,169,66,352,50,10,46,20,38
ENSG00000090104,RGS1,4922,3723.2,1198.8,0.322,-1.6,3e-4,1,0.001,6,2998,2796,5610,1911,5301,1678,965,1390,849,1112
ENSG00000038358,EDC4,4406.8,1712.4,2694.4,1.574,0.7,3e-4,1,0.001,6,1718,1491,2050,1685,1618,2776,2528,2684,2865,2619
ENSG00000211801,TRAV21,103.4,10.8,92.6,8.397,3.1,3e-4,1,0.001,6,10,18,18,6,2,75,101,114,150,23
ENSG00000145868,FBXO38,2889.6,1048.6,1841,1.756,0.8,3e-4,1,0.001,6,1142,1037,1016,991,1057,1671,1747,1581,1678,2528
ENSG00000127423,AUNIP,97.4,79.4,18,0.227,-2.1,3e-4,1,0.001,6,29,100,63,66,139,18,21,17,22,12
ENSG00000137700,SLC37A4,1662.8,1262.8,400,0.317,-1.7,3e-4,1,0.001,6,861,898,800,2462,1293,329,482,428,436,325
ENSG00000256223,ZNF10,551.2,385.2,166,0.431,-1.2,3e-4,1,0.001,6,494,460,343,353,276,183,184,193,131,139
ENSG00000166439,RNF169,2106.6,688.6,1418,2.06,1,3e-4,1,0.001,6,465,707,539,888,844,1499,1185,1363,1431,1612
ENSG00000175643,RMI2,487.8,448.4,39.4,0.088,-3.5,3e-4,1,0.001,6,81,247,509,276,1129,17,56,63,24,37
ENSG00000050628,PTGER3,159,150,9,0.062,-4,3e-4,1,0.001,6,145,444,68,30,63,7,8,18,8,4
ENSG00000122042,UBL3,2301.6,681,1620.6,2.379,1.3,3e-4,1,0.001,6,506,1020,908,460,511,1678,1651,1631,1718,1425
ENSG00000102934,PLLP,394.2,297.8,96.4,0.325,-1.6,3e-4,1,0.001,6,358,216,362,389,164,115,109,93,106,59
ENSG00000182575,NXPH3,150.8,148.6,2.2,0.015,-6.1,3e-4,1,0.001,6,279,344,71,18,31,1,0,1,0,9
ENSG00000149231,CCDC82,2297.6,765,1532.6,2.003,1,3e-4,1,0.001,6,595,942,910,521,857,1499,1480,1824,1457,1403
ENSG00000092096,SLC22A17,1210.8,1015,195.8,0.193,-2.4,3e-4,1,0.001,6,1268,1195,931,736,945,268,227,329,113,42
ENSG00000138071,ACTR2,20715.6,6745.2,13970.4,2.071,1.1,3e-4,1,0.001,6,4145,6841,6723,6451,9566,13700,13222,13336,14796,14798
ENSG00000260695,ENSG00000260695,66.2,66.2,0,0.002,-9.1,3e-4,1,0.001,6,100,165,27,19,20,0,0,0,0,0
ENSG00000114200,BCHE,103.8,103.8,0,0.001,-9.7,3e-4,1,0.001,6,119,83,33,12,272,0,0,0,0,0
ENSG00000169436,COL22A1,277.6,277.6,0,0,-11.1,3e-4,1,0.001,6,69,864,127,295,33,0,0,0,0,0
ENSG00000197046,SIGLEC15,133.6,20.2,113.4,5.457,2.4,3e-4,1,0.001,6,14,39,8,22,18,62,135,75,95,200
ENSG00000154127,UBASH3B,1535.6,437.8,1097.8,2.509,1.3,3e-4,1,0.001,6,324,416,253,610,586,1221,1186,1254,884,944
ENSG00000081019,RSBN1,1511.8,549.4,962.4,1.752,0.8,3e-4,1,0.001,6,440,573,523,545,666,994,916,1008,1058,836
ENSG00000258168,ENSG00000258168,123,119,4,0.035,-4.8,3e-4,1,0.001,6,123,96,49,22,305,2,1,5,0,12
ENSG00000007312,CD79B,1316.2,193.8,1122.4,5.773,2.5,3e-4,1,0.0011,6,358,173,273,51,114,638,966,1934,914,1160
ENSG00000261208,ENSG00000261208,48.8,4.8,44,8.196,3,3e-4,1,0.0011,6,11,7,4,1,1,42,13,65,59,41
ENSG00000173692,PSMD1,3898.8,2536.2,1362.6,0.537,-0.9,3e-4,1,0.0011,6,1980,2929,3306,2461,2005,1218,1253,1320,1514,1508
ENSG00000119801,YPEL5,7269.2,2233.8,5035.4,2.254,1.2,3e-4,1,0.0011,6,1692,2232,2049,2688,2508,7865,4838,4436,3396,4642
ENSG00000137166,FOXP4,3200.6,2192.4,1008.2,0.46,-1.1,3e-4,1,0.0011,6,2096,3445,1717,1698,2006,945,940,863,1007,1286
ENSG00000103528,SYT17,509.8,410,99.8,0.243,-2,3e-4,1,0.0011,6,356,194,411,320,769,145,70,114,59,111
ENSG00000142611,PRDM16,553.2,549.2,4,0.008,-7,3e-4,1,0.0011,6,282,88,2280,62,34,5,2,1,7,5
ENSG00000171302,CANT1,3319.6,2107.2,1212.4,0.575,-0.8,3e-4,1,0.0011,6,1775,2408,2331,2207,1815,931,1269,1220,1300,1342
ENSG00000100368,CSF2RB,6416.4,1331.4,5085,3.817,1.9,3e-4,1,0.0011,6,1976,1768,1805,537,571,4937,5291,5546,4079,5572
ENSG00000165916,PSMC3,3459.6,2142.4,1317.2,0.615,-0.7,3e-4,1,0.0011,6,1696,2152,2277,2085,2502,1344,1238,1429,1270,1305
ENSG00000211598,IGKV4-1,13282,12811.6,470.4,0.037,-4.8,3e-4,1,0.0011,6,11172,27222,10593,759,14312,91,1011,796,254,200
ENSG00000251034,ENSG00000251034,252.4,34.6,217.8,6.229,2.6,3e-4,1,0.0011,6,75,45,30,14,9,186,228,229,248,198
ENSG00000259803,SLC22A31,973.8,913.8,60,0.065,-3.9,3e-4,1,0.0011,6,2980,285,642,300,362,46,89,51,24,90
ENSG00000260005,ENSG00000260005,419,127,292,2.3,1.2,3e-4,1,0.0011,6,146,134,78,148,129,276,305,296,325,258
ENSG00000258476,LINC02207,84.8,9.6,75.2,7.742,3,3e-4,1,0.0011,6,10,14,7,3,14,91,78,20,41,146
ENSG00000006062,MAP3K14,3053.6,881.8,2171.8,2.461,1.3,3e-4,1,0.0011,6,1521,840,815,715,518,1971,2204,2202,2374,2108
ENSG00000050555,LAMC3,1260.2,1210.6,49.6,0.041,-4.6,3e-4,1,0.0011,6,389,778,3677,436,773,110,34,80,6,18
ENSG00000136436,CALCOCO2,5954.6,2237.6,3717,1.661,0.7,3e-4,1,0.0011,6,2368,2740,1938,2137,2005,3585,3512,3545,3560,4383
ENSG00000136011,STAB2,224.4,217.8,6.6,0.031,-5,3e-4,1,0.0011,6,745,182,93,44,25,4,6,5,13,5
ENSG00000143156,NME7,273,198.6,74.4,0.376,-1.4,3e-4,1,0.0011,6,150,265,220,224,134,66,76,74,95,61
ENSG00000154856,APCDD1,1263.8,1088.8,175,0.16,-2.6,3e-4,1,0.0011,6,1363,1098,719,617,1647,113,372,87,60,243
ENSG00000182179,UBA7,10738.2,2590.4,8147.8,3.144,1.7,3.1e-4,1,0.0011,6,5054,2618,2299,1622,1359,7506,7372,8977,7889,8995
ENSG00000145911,N4BP3,393.2,307.6,85.6,0.278,-1.8,3.1e-4,1,0.0011,6,377,269,487,220,185,68,126,94,93,47
ENSG00000160145,KALRN,613,529.8,83.2,0.158,-2.7,3.1e-4,1,0.0011,6,717,446,947,374,165,101,112,100,80,23
ENSG00000173253,DMRT2,331.4,327.6,3.8,0.013,-6.3,3.1e-4,1,0.0011,6,42,63,355,816,362,1,0,0,16,2
ENSG00000130669,PAK4,3910,3584.6,325.4,0.091,-3.5,3.1e-4,1,0.0011,6,1319,1139,2292,1346,11827,313,297,307,357,353
ENSG00000108219,TSPAN14,13363,4255.8,9107.2,2.14,1.1,3.1e-4,1,0.0011,6,4465,3137,6414,4213,3050,8857,8292,8637,8955,10795
ENSG00000075643,MOCOS,354,343.8,10.2,0.029,-5.1,3.1e-4,1,0.0011,6,265,189,120,830,315,5,0,5,3,38
ENSG00000149260,CAPN5,877.4,695.8,181.6,0.261,-1.9,3.1e-4,1,0.0011,6,1012,627,599,326,915,163,189,279,198,79
ENSG00000164209,SLC25A46,1894,660.4,1233.6,1.867,0.9,3.1e-4,1,0.0011,6,629,867,752,561,493,1264,1199,1112,1316,1277
ENSG00000196712,NF1,3587.8,2366.4,1221.4,0.516,-1,3.1e-4,1,0.0011,6,1549,2323,3191,2187,2582,1315,1109,1147,1349,1187
ENSG00000134480,CCNH,1257.2,422.2,835,1.976,1,3.1e-4,1,0.0011,6,465,533,366,356,391,1009,807,684,696,979
ENSG00000182648,RNF32-DT,380,340,40,0.119,-3.1,3.1e-4,1,0.0011,6,135,153,642,97,673,28,48,32,42,50
ENSG00000112294,ALDH5A1,872.2,639,233.2,0.365,-1.5,3.1e-4,1,0.0011,6,542,450,476,1027,700,259,247,302,206,152
ENSG00000172508,CARNS1,769.8,131.4,638.4,4.844,2.3,3.1e-4,1,0.0011,6,305,79,101,113,59,580,541,948,686,437
ENSG00000087206,UIMC1,1957.2,730.2,1227,1.68,0.7,3.1e-4,1,0.0011,6,860,736,665,776,614,1331,1306,1232,1206,1060
ENSG00000160801,PTH1R,199.8,197.6,2.2,0.011,-6.5,3.1e-4,1,0.0011,6,538,201,154,26,69,0,11,0,0,0
ENSG00000064545,TMEM161A,1618.6,1067.6,551,0.516,-1,3.1e-4,1,0.0011,6,779,942,928,1444,1245,546,558,582,543,526
ENSG00000185669,SNAI3,370.4,82,288.4,3.51,1.8,3.1e-4,1,0.0011,6,110,93,120,44,43,225,353,256,367,241
ENSG00000196684,HSH2D,3995.2,790.8,3204.4,4.048,2,3.1e-4,1,0.0011,6,1398,965,744,213,634,3787,2773,3900,2823,2739
ENSG00000197217,ENTPD4,7343.2,2813.2,4530,1.61,0.7,3.1e-4,1,0.0011,6,2677,3159,3081,2909,2240,4354,4940,4429,4582,4345
ENSG00000131171,SH3BGRL,6914.2,1534.8,5379.4,3.502,1.8,3.1e-4,1,0.0011,6,1653,2734,1287,514,1486,6952,5156,4803,4614,5372
ENSG00000075035,WSCD2,69.8,67,2.8,0.041,-4.6,3.1e-4,1,0.0011,6,120,61,18,15,121,5,0,5,0,4
ENSG00000260618,ENSG00000260618,120.8,28.8,92,3.204,1.7,3.1e-4,1,0.0011,6,19,22,29,48,26,100,127,72,85,76
ENSG00000261455,LINC01003,253.2,68.8,184.4,2.691,1.4,3.1e-4,1,0.0011,6,47,52,63,86,96,209,185,188,144,196
ENSG00000232677,LINC00665,742.2,635.6,106.6,0.168,-2.6,3.1e-4,1,0.0011,6,299,325,717,264,1573,123,94,126,92,98
ENSG00000185621,LMLN,943.6,694.4,249.2,0.359,-1.5,3.1e-4,1,0.0011,6,370,558,751,993,800,317,321,198,214,196
ENSG00000182199,SHMT2,4899.2,3384,1515.2,0.448,-1.2,3.1e-4,1,0.0011,6,1835,2791,4442,3812,4040,1301,1485,1723,1483,1584
ENSG00000068400,GRIPAP1,6454.8,2422.2,4032.6,1.665,0.7,3.1e-4,1,0.0011,6,2676,2127,1927,2811,2570,3946,3868,3874,3916,4559
ENSG00000131507,NDFIP1,5126.2,1892.4,3233.8,1.709,0.8,3.2e-4,1,0.0011,6,1789,2384,1732,1874,1683,3840,3449,3188,2963,2729
ENSG00000239948,RN7SL368P,127.6,12,115.6,9.322,3.2,3.2e-4,1,0.0011,6,28,11,1,11,9,138,184,120,35,101
ENSG00000169413,RNASE6,2419.4,413.2,2006.2,4.839,2.3,3.2e-4,1,0.0011,6,565,766,373,157,205,1950,2451,1103,1562,2965
ENSG00000121621,KIF18A,212.6,191.6,21,0.11,-3.2,3.2e-4,1,0.0011,6,20,119,340,168,311,26,20,20,18,21
ENSG00000167642,SPINT2,8676.4,7287.6,1388.8,0.191,-2.4,3.2e-4,1,0.0011,6,2877,3904,7241,4521,17895,1334,1834,1382,1008,1386
ENSG00000198624,CCDC69,9499,1457,8042,5.517,2.5,3.2e-4,1,0.0011,6,3456,1187,1541,413,688,8932,7389,8112,8439,7338
ENSG00000068650,ATP11A,7916,2228.4,5687.6,2.552,1.4,3.2e-4,1,0.0011,6,3549,1685,2725,1795,1388,5354,5525,4469,5631,7459
ENSG00000187908,DMBT1,2637.4,2637.4,0,0,-14.4,3.2e-4,1,0.0011,6,8949,173,2598,1164,303,0,0,0,0,0
ENSG00000002822,MAD1L1,2187,691.2,1495.8,2.163,1.1,3.2e-4,1,0.0011,6,569,855,536,543,953,1199,1713,1267,1484,1816
ENSG00000106511,MEOX2,295,295,0,0,-11.2,3.2e-4,1,0.0011,6,553,667,182,32,41,0,0,0,0,0
ENSG00000165424,ZCCHC24,1875.6,1569.4,306.2,0.195,-2.4,3.2e-4,1,0.0011,6,2741,2681,1189,724,512,249,381,222,358,321
ENSG00000126216,TUBGCP3,1984.6,729.2,1255.4,1.722,0.8,3.2e-4,1,0.0011,6,672,625,845,837,667,1394,1251,1095,1134,1403
ENSG00000258655,ARHGAP5-AS1,99.6,88.6,11,0.125,-3,3.2e-4,1,0.0011,6,44,29,81,106,183,17,7,18,9,4
ENSG00000053918,KCNQ1,1519.6,271.6,1248,4.589,2.2,3.2e-4,1,0.0011,6,562,205,362,133,96,1419,1249,1071,1167,1334
ENSG00000242588,ENSG00000242588,812.4,233.6,578.8,2.478,1.3,3.2e-4,1,0.0011,6,189,159,173,359,288,635,627,482,582,568
ENSG00000196159,FAT4,985.2,935.2,50,0.054,-4.2,3.2e-4,1,0.0011,6,1600,972,618,197,1289,84,4,115,26,21
ENSG00000177000,MTHFR,5159.6,1469.8,3689.8,2.51,1.3,3.2e-4,1,0.0011,6,2494,984,1530,1450,891,3695,3487,3431,3592,4244
ENSG00000228427,ENSG00000228427,133.6,19,114.6,5.843,2.5,3.2e-4,1,0.0011,6,31,30,19,3,12,88,110,102,132,141
ENSG00000250986,LINC02600,115.6,115.6,0,0.001,-9.8,3.2e-4,1,0.0011,6,43,23,322,153,37,0,0,0,0,0
ENSG00000176014,TUBB6,2923,2343.6,579.4,0.247,-2,3.2e-4,1,0.0011,6,2399,2741,1605,3920,1053,977,485,320,408,707
ENSG00000274008,Metazoa_SRP,207.2,20.2,187,9.148,3.2,3.2e-4,1,0.0011,6,46,7,27,4,17,130,210,111,146,338
ENSG00000007944,MYLIP,3248.8,1085.8,2163,1.992,1,3.3e-4,1,0.0011,6,1255,943,995,1098,1138,3248,2147,1940,1720,1760
ENSG00000243646,IL10RB,266.8,67.2,199.6,2.97,1.6,3.3e-4,1,0.0011,6,96,55,70,77,38,160,207,179,170,282
ENSG00000072518,MARK2,5749.4,2224.6,3524.8,1.584,0.7,3.3e-4,1,0.0011,6,2119,1938,2162,2375,2529,3204,3347,3336,3898,3839
ENSG00000241553,ARPC4,6343.2,2262.4,4080.8,1.804,0.9,3.3e-4,1,0.0011,6,2071,2381,2658,1555,2647,3809,3858,4201,3900,4636
ENSG00000177181,RIMKLA,434.8,429.4,5.4,0.013,-6.2,3.3e-4,1,0.0011,6,53,54,1220,39,781,9,6,9,1,2
ENSG00000068796,KIF2A,2556.2,754.6,1801.6,2.387,1.3,3.3e-4,1,0.0011,6,441,874,804,576,1078,1894,2073,1840,1933,1268
ENSG00000230155,CEP250-AS1,63.4,14.4,49,3.333,1.7,3.3e-4,1,0.0011,6,17,22,12,7,14,40,34,50,57,64
ENSG00000101773,RBBP8,1595.4,1222.8,372.6,0.305,-1.7,3.3e-4,1,0.0011,6,436,1257,1040,1415,1966,464,315,359,304,421
ENSG00000250659,ENSG00000250659,109.4,6.2,103.2,16.485,4,3.3e-4,1,0.0011,6,8,1,1,6,15,50,51,53,69,293
ENSG00000211745,TRBV4-2,37.2,5.2,32,5.868,2.6,3.3e-4,1,0.0011,6,8,5,7,0,6,34,31,22,30,43
ENSG00000236320,SLFN14,66.6,12.4,54.2,4.202,2.1,3.3e-4,1,0.0011,6,22,14,16,4,6,64,55,50,52,50
ENSG00000166503,HDGFL3,1624.8,1150,474.8,0.413,-1.3,3.3e-4,1,0.0011,6,800,1352,870,1529,1199,350,404,417,497,706
ENSG00000265666,RARA-AS1,326,75.4,250.6,3.32,1.7,3.3e-4,1,0.0011,6,141,70,74,44,48,280,274,236,199,264
ENSG00000161203,AP2M1,17839.6,11516.4,6323.2,0.549,-0.9,3.3e-4,1,0.0011,6,9554,10376,13102,15220,9330,6098,6271,5958,6755,6534
ENSG00000147912,FBXO10,288.8,224.6,64.2,0.285,-1.8,3.3e-4,1,0.0011,6,356,285,141,131,210,45,57,76,53,90
ENSG00000205622,ETS2-AS1,26,23.2,2.8,0.123,-3,3.3e-4,1,0.0011,6,16,19,38,23,20,1,5,2,0,6
ENSG00000100483,VCPKMT,922.8,323.8,599,1.851,0.9,3.3e-4,1,0.0011,6,278,287,326,344,384,684,632,611,488,580
ENSG00000159128,IFNGR2,2780.6,961.6,1819,1.892,0.9,3.3e-4,1,0.0011,6,924,993,980,1218,693,1509,1649,1782,1834,2321
ENSG00000196455,PIK3R4,2171,1472,699,0.475,-1.1,3.3e-4,1,0.0011,6,943,1307,2153,1617,1340,651,632,698,704,810
ENSG00000173080,RXFP4,26.2,1.6,24.6,12.237,3.6,3.3e-4,1,0.0011,6,7,1,0,0,0,20,31,25,24,23
ENSG00000160191,PDE9A,402.2,326.2,76,0.234,-2.1,3.3e-4,1,0.0011,6,374,220,303,295,439,56,128,94,79,23
ENSG00000121236,TRIM6,104.8,91.2,13.6,0.15,-2.7,3.3e-4,1,0.0011,6,183,132,66,43,32,6,18,13,14,17
ENSG00000025772,TOMM34,1211,868.4,342.6,0.395,-1.3,3.3e-4,1,0.0011,6,622,726,1439,683,872,263,442,364,281,363
ENSG00000242247,ARFGAP3,3157.4,2054.2,1103.2,0.537,-0.9,3.3e-4,1,0.0011,6,1564,1847,1888,2792,2180,1272,981,1007,1222,1034
ENSG00000144746,ARL6IP5,6819.8,1657.4,5162.4,3.113,1.6,3.3e-4,1,0.0011,6,1962,2947,1641,857,880,4519,4691,5846,5548,5208
ENSG00000168310,IRF2,2817.6,878,1939.6,2.208,1.1,3.3e-4,1,0.0011,6,1058,1138,699,935,560,1459,1616,2226,2172,2225
ENSG00000128191,DGCR8,3698.6,2461.2,1237.4,0.503,-1,3.3e-4,1,0.0011,6,2061,1949,1929,2838,3529,1154,1166,1120,1426,1321
ENSG00000108671,PSMD11,4651,3161.4,1489.6,0.471,-1.1,3.3e-4,1,0.0011,6,1857,2546,4391,3753,3260,1586,1426,1409,1502,1525
ENSG00000122203,KIAA1191,3718.6,2244,1474.6,0.657,-0.6,3.4e-4,1,0.0011,6,2040,2293,2498,2360,2029,1406,1488,1437,1534,1508
ENSG00000270039,ENSG00000270039,54.2,42,12.2,0.293,-1.8,3.4e-4,1,0.0011,6,54,42,38,32,44,7,12,8,12,22
ENSG00000186204,CYP4F12,246.4,230.2,16.2,0.07,-3.8,3.4e-4,1,0.0011,6,518,129,126,353,25,5,23,21,18,14
ENSG00000107960,STN1,1342.8,444.4,898.4,2.02,1,3.4e-4,1,0.0012,6,548,493,400,315,466,968,851,1015,1005,653
ENSG00000136830,NIBAN2,10659.4,7731.4,2928,0.379,-1.4,3.4e-4,1,0.0012,6,6977,6247,6996,13928,4509,3018,3366,2498,2509,3249
ENSG00000235111,ENSG00000235111,90.4,19.8,70.6,3.498,1.8,3.4e-4,1,0.0012,6,37,19,12,15,16,68,90,54,87,54
ENSG00000242282,ENSG00000242282,159.6,122.2,37.4,0.308,-1.7,3.4e-4,1,0.0012,6,113,124,121,76,177,25,40,59,29,34
