protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
CF298,CFAP298,675990,1097800,NA,834500,3758400,3523600,3456700,1595200,3019200,612790,901420,NA,1314800,312260,1030700,1311500,2012400,1344800,2216700,615930,594650,447760
A16A1,ALDH16A1,14578000,63213000,12535000,8510300,35042000,14487000,11758000,5860700,6153200,11356000,3883700,8054100,6454800,10850000,14231000,5914200,19184000,17216000,13433000,50715000,14195000,93346000
KVD28,IGKV2D-28,2147300,1453400,3233000,2418800,5987500,12549000,25369000,11684000,6867700,6321300,3514200,4531100,1243900,2065100,9127100,4987600,490630,1172800,7004800,4159700,14670000,8749100
WASP,WAS,1625200,4132700,11795000,7528900,14514000,17248000,10872000,44604000,15864000,20402000,1070100,7251200,4934900,10977000,11639000,6342500,20055000,15174000,13655000,12692000,18464000,27570000
6PGL,PGLS,49882000,56681000,44004000,52620000,72592000,97723000,61367000,63027000,99208000,36629000,29978000,32008000,34929000,15625000,60709000,38433000,80042000,71129000,53861000,54591000,81909000,135880000
PSB1,PSMB1,65982000,110120000,57860000,69507000,94211000,123530000,129520000,47639000,105430000,103230000,39066000,45337000,42587000,37568000,71586000,37400000,114090000,160920000,57017000,67178000,90530000,185140000
RPR1B,RPRD1B,11111000,13024000,10901000,12373000,86128000,16638000,32527000,8675900,124320000,11750000,4547100,6293400,5483500,2607400,10687000,23853000,55694000,34473000,12396000,15961000,21346000,24326000
CLC11,CLEC11A,619250,2100600,1029700,2122200,1716400,1557900,557150,2036100,969920,495800,1119700,560880,324480,1121000,1171600,385360,1276800,2033900,571110,605950,1514500,379040
GALNS,GALNS,5940100,59399000,7365600,8954700,10703000,10548000,7028800,3028300,1358000,56780000,863580,35641000,6181100,2615800,7629900,4066100,15875000,4881000,8726400,10202000,8791800,2060900
NEP1,EMG1,798930,2382900,1861900,1669200,3490100,2504600,2514500,884020,2115000,1408700,974550,1204200,809380,749580,635090,520820,1950900,2105600,999750,731180,1253200,1730700
EPN4,CLINT1,6862500,10008000,5805100,6759200,14448000,13471000,10144000,6104700,7765600,11108000,4070000,7245000,6793300,1104200,11595000,4245500,6415900,12494000,6847200,8053700,11265000,22971000
T3HPD,L3HYPDH,3271900,6003000,2350400,1073000,2898700,6908900,844480,5353000,7350000,5892200,1706100,3459600,3181900,3209500,4037900,537650,1859700,1591300,5738500,4371700,5864700,6319400
