protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
HBB,HBB,36675000,72975000,11731000,40666000,1706200,13028000,40409000,11383000,26891000,362330000,327180000,63406000,86523000,102010000,390660000,34020000,85719000,273950000
PSA,NPEPPS,45300000,16777000,151460000,28744000,479120000,43084000,165540000,153400000,79823000,16587000,9443100,20836000,25460000,26538000,10610000,37966000,59258000,49728000
FIBB,FGB,288190000,583500000,62848000,265540000,273910000,312160000,233560000,341960000,303270000,620420000,792260000,694130000,1612900000,1874600000,1591500000,631840000,850480000,463740000
HBA,HBA1;,415440000,160370000,255690000,206760000,75845000,134030000,295850000,117400000,311320000,1310900000,2251500000,557800000,831540000,784460000,1202600000,282730000,327990000,819800000
EHD2,EHD2,136870000,14139000,144440000,40263000,66744000,152690000,217550000,136870000,129840000,435710000,219890000,951350000,434050000,443970000,233920000,490030000,1072000000,674750000
FIBG,FGG,247650000,332070000,55156000,251050000,276730000,351800000,228970000,347600000,275700000,390490000,639930000,642760000,1348800000,1709500000,1388800000,600920000,797610000,547800000
LDHA,LDHA,254910000,166830000,427290000,213240000,1094700000,355470000,176820000,290230000,1243900000,41790000,13627000,94451000,96047000,99106000,11532000,201600000,107410000,49741000
NDRG1,NDRG1,183900000,43336000,120100000,55074000,356910000,162610000,114660000,92286000,850180000,19727000,24515000,42648000,119750000,33338000,11323000,88482000,81583000,49155000
EPB42,EPB42,12032000,15077000,3891500,9569800,1266700,3676800,7158100,5730800,2484000,31490000,65711000,50458000,25886000,66409000,73758000,30826000,29570000,50059000
MA2A1,MAN2A1,1226400,1870100,2349600,4603700,39919000,2181700,10343000,9636900,35583000,92472,754590,1789700,6334900,2368700,187520,4771000,529150,625990
GLYM,SHMT2,23850000,11215000,29410000,13774000,60503000,18437000,25511000,53689000,211780000,6552500,4734800,18611000,12354000,22479000,5023500,28925000,15540000,9670400
ERO1A,ERO1A,56978000,104610000,91006000,53262000,355230000,89785000,103130000,141610000,161480000,7169400,2571900,12017000,19623000,32842000,159850000,70207000,24951000,31603000
PLOD1,PLOD1,6241400,4978000,7872400,4848700,38897000,7327900,13979000,23744000,29130000,1144500,115080,3032900,2882500,8128700,NA,14336000,3515500,1021000
HNRPF,HNRNPF,43288000,6740200,74416000,20999000,168510000,25623000,81282000,47952000,131980000,12481000,5815700,17795000,17002000,39096000,6234800,39167000,33561000,14081000
LAP2B,TMPO,11471000,380860,15721000,5056300,32400000,7810700,24165000,25971000,37271000,3560700,1722900,927830,1263600,7327300,1141600,4386700,3951300,1999300
PCBP2,PCBP2,30043000,16111000,152360000,29309000,224520000,43138000,109950000,70550000,239650000,28381000,7245900,6746200,43535000,26650000,10842000,68535000,61422000,37527000
OAS3,OAS3,7786100,2310300,8015500,3894000,12254000,4827200,8397500,20841000,31729000,1455200,403230,3232800,2247800,11324000,458110,3386600,4074200,2110000
CAVN2,CAVIN2,14462000,6344500,14394000,3100800,25998000,8948800,32126000,11037000,23946000,72671000,22881000,82198000,24545000,84319000,76393000,56518000,113440000,94432000
PPM1G,PPM1G,6202600,13998000,10229000,4583300,59826000,6012400,21275000,41181000,56089000,9172600,3312800,2631400,13437000,6316200,3967600,3118600,6387400,10713000
GALK1,GALK1,23777000,4062100,32431000,14207000,76623000,26906000,49864000,34854000,124520000,5898400,3782600,9892900,11306000,14963000,4546300,20279000,12914000,11308000
MZB1,MZB1,36659000,91464000,426220000,717900000,128630000,318660000,114630000,863640000,1046300000,7336500,13914000,93677000,166590000,55919000,10933000,48465000,43150000,10869000
RAGE,AGER,221380000,1862900,29438000,13981000,1581200,20613000,163340000,73461000,230010000,1218600000,530060000,1446000000,763900000,210340000,229050000,154370000,1136500000,1141800000
TOM40,TOMM40,14782000,14672000,31076000,7488900,159550000,31023000,66705000,48174000,81669000,2796500,660850,13287000,13608000,12249000,1674300,39310000,13970000,7787900
PTBP3,PTBP3,6115900,1818800,12320000,4406400,29124000,10779000,20427000,21659000,40900000,1599000,1325100,12674000,2574300,6310100,1421400,4285600,5206600,2928100
RAVR1,RAVER1,7625600,3910300,14328000,5975000,42150000,10236000,14161000,14431000,46104000,1910000,478960,4856300,5793000,4681000,NA,10072000,3881100,3756800
H12,H1-2,158390000,112320000,50224000,53584000,182700000,289220000,33573000,75054000,26401000,119290000,14252000,812360,27263000,451050,1224800,701360,703310,NA
RRAS,RRAS,11368000,3736400,22414000,7162400,24623000,35282000,22986000,18784000,14425000,65120000,38996000,99465000,54138000,64888000,46463000,56384000,107090000,74731000
RS4X,RPS4X,72434000,9556200,111410000,35766000,268810000,74973000,62476000,129150000,345440000,18256000,3343100,60326000,44587000,32362000,6859100,40061000,54807000,30019000
SPSY,SMS,12994000,11870000,39637000,14598000,92353000,20359000,69826000,61657000,112940000,3000800,922640,3668500,8616000,9904900,249530,19289000,9292100,7499500
K2C4,KRT4,598030,142720,543000,104790,192130,156740,959320,551490,NA,1408600,169020,1126800,4824500,537060,385280,1734900,6579300,1821200
COF1,CFL1,228800000,128180000,339850000,222020000,736950000,279570000,400040000,572600000,1028700000,166890000,67495000,128350000,158870000,210230000,42677000,124460000,88766000,73524000
GGT5,GGT5,8050900,11852000,114300000,13030000,37902000,99541000,17356000,37623000,26335000,3020300,247650,21713000,19306000,12827000,1032600,13421000,18815000,2526500
PSMD4,PSMD4,20466000,2031500,51320000,10431000,90906000,12455000,42135000,62371000,88372000,11453000,5812300,3267600,8958100,18379000,5289800,12791000,9680300,5051300
RL10A,RPL10A,81842000,15582000,152570000,44036000,230870000,56410000,117630000,165990000,207660000,26965000,8744800,20306000,32261000,97977000,3994000,37825000,26061000,6851500
S10A6,S100A6,1251500000,242300000,71760000,866250000,9853800000,1972700000,3349100000,1767000000,3203500000,921290000,614550000,194080000,1188400000,323510000,447590000,729500000,1324100000,922700000
HMOX2,HMOX2,8010800,8355600,24655000,6643800,49436000,17452000,35283000,23587000,73733000,3554500,806390,7274100,6443200,17861000,858760,26450000,9814500,5685100
YBOX3,YBX3,8921300,449770,14375000,1510600,27004000,7038000,10091000,19569000,7022100,1282300,480070,4229800,2024500,5364400,1152400,3941100,4592100,1654100
PSME2,PSME2,62156000,72835000,324220000,72782000,303120000,117010000,261350000,281360000,249850000,25498000,9773200,105300000,54158000,66594000,22429000,86697000,106660000,74706000
CAH3,CA3,5950400,6149200,108030000,7945400,10584000,927310000,19539000,14335000,17458000,70506000,17501000,47485000,44348000,45935000,32708000,12169000,24196000,17111000
DNJA2,DNAJA2,20125000,3046200,42814000,9971700,66142000,12667000,45245000,42650000,61084000,6714900,1412900,10852000,5306200,13864000,3878700,21610000,20220000,12797000
PGES2,PTGES2,5901000,2782900,32224000,5917700,28499000,5962700,39855000,19643000,41789000,2726700,303270,3090900,5370900,8321500,364040,14041000,8595600,3453900
ST1A1,SULT1A1,4883000,969740,2240000,942120,28999000,5913100,5398900,7311800,7975800,19023000,4698000,24113000,18311000,58081000,7746400,35855000,50086000,11299000
OLFM4,OLFM4,5201700,78544000,14067000,54003000,13790000,10453000,10826000,17275000,34765000,4171400,1891600,3983400,5917500,6792400,3658800,12031000,7341400,5903100
SF01,SF1,17972000,4908900,33365000,8497000,75665000,17483000,21687000,19377000,88172000,2534700,2649600,7068900,8508300,6739300,4048600,5918300,29504000,3773100
CYBP,CACYBP,52450000,12104000,53555000,12113000,155920000,24926000,92809000,63253000,121740000,15708000,2944600,18086000,14108000,27866000,3592600,27040000,18178000,14707000
NUP54,NUP54,3194800,5167100,3258100,2349400,12344000,2807100,4241500,5049500,9671500,557900,NA,1239400,2211800,2025100,164840,1997900,1167100,773840
PMGE,BPGM,30650000,35559000,10451000,30501000,18618000,14218000,26438000,24519000,22516000,74750000,90676000,84298000,55755000,93964000,99528000,49708000,48940000,80637000
ERLEC,ERLEC1,4498900,1797000,20514000,8857900,14683000,7639400,9403000,6473000,23991000,350730,166830,2291400,4239600,5987800,95264,8749800,4410000,988960
PSPC1,PSPC1,9612100,3787000,27371000,6747200,56164000,12376000,14693000,25049000,53632000,2313200,349090,5259000,6358800,8393400,1019600,8540800,6293000,5397800
TM165,TMEM165,42339000,15498000,25750000,16718000,62511000,20702000,52863000,46129000,77493000,1965100,522380,10191000,5736100,13773000,687830,23224000,10547000,4803500
CMPK2,CMPK2,4735100,6545300,5200700,2443000,3751500,9091100,5607200,8076300,12066000,4552000,297620000,9005700,7651100,5115100,11896000,3542100,4787400,4267100
CAPR1,CAPRIN1,23378000,14130000,38344000,16062000,97418000,21377000,35686000,55286000,93967000,6966800,838380,15850000,16315000,18749000,2464300,24307000,18880000,10049000
NQO1,NQO1,4411100,17018000,746010,69913000,13201000,31671000,150250000,30560000,7172400,1993900,951220,3221600,9243000,6087400,5194000,31333000,7901800,2949500
LRC59,LRRC59,37020000,35255000,140680000,39822000,274090000,54456000,120150000,78329000,246570000,9227400,2410000,19548000,20465000,31227000,7512600,78811000,35524000,18148000
PSB9,PSMB9,20893000,16246000,33515000,12826000,55000000,30497000,43181000,53848000,87628000,5673000,1133500,28002000,11069000,21743000,1506100,15460000,13919000,9633000
UFD1,UFD1,4913100,2681900,12511000,5275200,30226000,8271300,12420000,17563000,22154000,2399800,2060200,3278100,7649100,5279200,740230,5370000,4520300,1968100
NDKB,NME2,58742000,42449000,326260000,72100000,698840000,73666000,146110000,54594000,333380000,45747000,18099000,55698000,58296000,100480000,25261000,90851000,81990000,36186000
RBM4,RBM4,6363400,133990,7907200,4602200,30751000,3338200,12947000,17288000,29580000,1938400,443990,1431400,2472000,3009700,586660,1592200,4140400,2096000
YBOX1,YBX1,46002000,7531400,77599000,10305000,172250000,32378000,78108000,105880000,126550000,6678800,3117000,25022000,10756000,33717000,7468900,30363000,31486000,9410200
FHL2,FHL2,13376000,3237000,46418000,19626000,8974100,37889000,21041000,31404000,19449000,1755800,NA,3311600,6287100,1047800,95677,4382900,2463900,686500
CD36,CD36,15326000,1307500,21180000,3344600,5265600,15741000,10579000,8015300,8612600,28734000,30141000,69606000,42859000,29086000,36430000,40933000,170970000,139880000
NNMT,NNMT,29514000,29727000,200160000,42964000,78267000,79760000,47002000,167880000,164840000,15518000,4365100,12732000,18752000,26908000,9117100,71469000,33190000,15093000
CSTF1,CSTF1,3254000,337330,14527000,2893500,16472000,19110000,12597000,12522000,13395000,3852000,NA,1838000,1445200,5425000,2113700,2126800,3839500,2545700
TADBP,TARDBP,51819000,4269600,92599000,20123000,158650000,62415000,75201000,93925000,184150000,21300000,8415200,12642000,38857000,15799000,9738200,56156000,42496000,28161000
CHRD1,CHORDC1,10137000,2502600,12309000,6508200,63503000,7183700,16672000,22575000,31874000,3569700,1831400,5600100,6600300,6640700,1562400,5230600,6796800,4052500
TCTP,TPT1,8463100,2555100,42595000,26344000,62587000,33364000,26353000,57362000,71063000,2437100,529720,1282400,7683800,5906800,1422200,22318000,7945600,4425400
RS8,RPS8,48360000,5632000,94211000,32335000,201910000,28382000,84943000,107980000,191930000,17490000,21988000,37959000,15984000,18226000,39041000,23132000,23820000,25818000
RBP56,TAF15,10028000,5923400,35566000,10325000,84189000,24964000,32812000,49868000,65209000,5835200,1505200,2571700,5352600,3157200,703170,9780000,2761000,677120
TCEA1,TCEA1,5121700,99598,10083000,1312100,13584000,1684800,5526300,7698700,24474000,166820,74309,1551500,404280,1702600,NA,2309400,1675200,647170
BASI,BSG,24745000,52343000,42350000,26803000,287480000,47277000,65582000,62729000,75720000,9283200,7057000,19941000,21538000,32758000,5722800,47352000,24587000,14194000
TPD52,TPD52,47894000,11856000,77447000,83331000,111050000,47780000,36707000,84067000,316170000,11611000,4117100,29668000,36990000,21277000,5089900,32786000,35617000,23770000
ARI1,ARIH1,1912100,147350,3858900,293610,11302000,1635100,2730500,4682900,7457500,1056500,140210,1594500,1399300,1535600,NA,1218600,1566100,1140300
DRB4,HLA-DRB4,879010,838900,22643000,32303000,2498800,2012000,87315000,1759700,79461000,10501000,593130,360580000,229810000,4726400,2269000,481500000,5096600,204350000
TCP4,SUB1,84637000,47055000,185470000,87811000,320340000,103630000,132690000,190710000,271290000,24867000,9742900,69611000,50163000,42355000,14390000,97562000,74682000,32888000
U2AF5,NA,24044000,4346400,30305000,11042000,87675000,17959000,25532000,58351000,88525000,4616200,3399100,14467000,7919200,17009000,5052200,20448000,15666000,8559900
H4,H4C1,12295000,37695000,27661000,1330300,27371000,16669000,17883000,30566000,34279000,49795000,4671100,189470000,19076000,274850000,48388000,142070000,64914000,54421000
RABP2,CRABP2,54239000,30071000,10751000,5237100,1210500000,10753000,54867000,70969000,427920000,3682600,1244300,6360100,11715000,9794400,1352200,5548200,14096000,5416100
S10AB,S100A11,283820000,189160000,502780000,155690000,625000000,202690000,422390000,282660000,464820000,85608000,31209000,35871000,101360000,52919000,53363000,275820000,158660000,131960000
RS21,RPS21,35018000,20043000,67146000,32606000,78778000,43835000,45883000,70859000,104290000,11050000,3314200,15507000,21889000,25073000,4336700,26282000,22052000,7308500
MARE2,MAPRE2,2088600,2238000,14117000,7690800,11341000,7240100,10701000,16928000,29315000,69356,1120300,24066,6114200,1578800,1820700,6615400,7741700,1884300
RL6,RPL6,74452000,25722000,150020000,55661000,264300000,65037000,123400000,181300000,364880000,22827000,7747900,15620000,20222000,75711000,9531200,74684000,43505000,33229000
MYG,MB,8791300,NA,1192900,224500,9934500,1208400,1800400,2308800,4190600,174740000,9186200,759490,80611000,2161200,7476600,15043000,23622000,29383000
RL9,RPL9,88631000,11350000,124580000,50263000,282550000,53774000,69847000,74211000,295460000,24865000,7943300,29809000,37136000,28815000,8738200,15739000,51967000,19037000
RL12,RPL12,158080000,30083000,290290000,106790000,471520000,171140000,198700000,322530000,573380000,46254000,23290000,95024000,88620000,128380000,16732000,135270000,93093000,32955000
RS19,RPS19,43974000,29462000,80063000,44996000,138510000,33846000,57671000,101010000,190110000,12849000,4937600,23925000,22218000,26469000,4210600,32235000,25471000,9761600
CAV1,CAV1,128860000,21304000,300310000,36411000,125190000,241230000,364160000,121360000,47481000,802050000,462380000,584160000,687650000,527480000,367460000,941220000,1257400000,947420000
CSRP2,CSRP2,4272000,1918500,37189000,5633200,13743000,72585000,12751000,20135000,8435200,3933700,4803200,6622800,6140500,2913800,3877600,346670,2015800,2352500
DRA,HLA-DRA,5814500,2316400,8067400,5289500,9977700,6372400,17981000,2332300,9999500,21883000,7962500,119010000,40835000,141600000,15489000,171610000,69563000,36656000
TXD17,TXNDC17,61417000,20912000,37973000,32163000,414450000,23523000,39895000,74438000,182900000,14997000,8004300,32628000,27354000,38294000,8147200,61886000,28068000,21796000
SSRA,SSR1,21923000,12599000,71141000,26087000,64235000,39051000,37118000,54597000,112840000,8261700,3077900,25680000,7579800,24296000,3015000,35048000,21701000,11124000
RL10,RPL10,12498000,1953800,20759000,16637000,90479000,9011300,34802000,45337000,97715000,4781900,1207400,2419700,5752500,9643200,519120,6411400,1095200,NA
RS16,RPS16,67890000,12541000,108010000,36228000,231970000,35039000,58633000,105850000,207910000,22209000,6516000,23367000,26358000,48383000,11896000,38042000,45357000,18301000
RANG,RANBP1,48885000,7189900,92256000,15774000,328140000,48417000,69653000,102330000,193150000,24596000,16419000,13115000,20770000,42148000,14920000,29246000,18397000,16670000
MIF,MIF,232490000,54107000,882940000,246080000,968490000,321980000,76524000,108240000,24834000,24726000,12742000,45398000,81520000,44005000,31254000,198850000,165710000,70494000
SMAP,SMAP,7113000,2125100,9325500,4643300,35837000,3975800,6648100,15909000,39460000,1193700,60762,2598600,1557300,2656200,438310,5297100,3310800,1964500
RL23A,RPL23A,48075000,2364900,72751000,23854000,125480000,23643000,58452000,80691000,156260000,23220000,7475700,3913700,16799000,12750000,1945300,10583000,6242600,5428600
CDD,CDA,3985800,37366000,1516100,6718100,30568000,7738300,2581900,50821000,27587000,728080,1203000,9121300,12402000,4532600,362900,3876000,3398900,3315700
RM12,MRPL12,9781900,2107000,26887000,3776500,48511000,9308300,18323000,17008000,43413000,3468600,868660,5895100,3277700,9374700,1245700,10278000,4982600,4625300
RBX1,RBX1,5178500,4163200,7421100,3430700,15533000,6056500,6582300,11558000,24458000,584690,NA,5060400,1781300,2388800,904990,3872500,2837400,2852200
TRAM1,TRAM1,5399100,652200,14306000,3675800,7544700,3475600,3506400,10877000,26567000,978200,495250,3469000,2637000,4199300,552920,4562700,2460600,1362400
PP14B,PPP1R14B,5740800,6153900,20603000,3687200,55472000,4400200,13238000,15688000,32370000,2620200,4140600,1946500,5252100,2980500,5949600,7952200,6434200,7951400
RS6,RPS6,38866000,13153000,45826000,20753000,110080000,25927000,35984000,57439000,127990000,10562000,3201000,8862500,8634100,11339000,966140,12804000,6055500,7469200
CALRL,CALCRL,5537200,221850,4494400,229800,1631800,2210100,6468500,3416600,5698400,15038000,7623700,23513000,5722200,19871000,8384900,14754000,16425000,11331000
TRBM,THBD,4996900,1189800,2441300,260780,87057,1597900,10308000,5520900,15229000,19572000,4994700,29420000,11575000,18705000,6838100,22391000,27193000,11591000
ADRM1,ADRM1,7086500,6598600,18668000,9857000,28277000,11485000,12749000,14371000,39879000,1926900,245290,214430,7778400,141490,109000,8110900,3066500,1371700
RL22,RPL22,127370000,42215000,162310000,83352000,344390000,70160000,153800000,232440000,422030000,34956000,10545000,12228000,41521000,28345000,4225000,20694000,10326000,2145300
RS20,RPS20,21373000,4630400,42680000,13528000,60825000,21500000,27471000,49420000,80903000,6351300,889700,7312300,17850000,5349700,1041300,12191000,5939100,1682800
GCSH,GCSH,17872000,4284800,35640000,6618300,29019000,16162000,22008000,23082000,68380000,3786500,882360,10147000,5979900,5340500,467090,12348000,3665300,3110500
DPA1,HLA-DPA1,15956000,19467000,24732000,11594000,26171000,19405000,20022000,35610000,41468000,32724000,43303000,147650000,51900000,193450000,16552000,158000000,83114000,55360000
QCR6,UQCRH,9470300,3918500,15998000,8422200,11046000,8981100,8042200,13919000,74274000,2143200,2503700,3956100,7788900,4365100,8666600,1394100,1023900,4545300
TYB10,TMSB10,11760000,14381000,12081000,10946000,104420000,15197000,19648000,43847000,54431000,3689600,1434400,6626200,6436000,15184000,2039500,11001000,12349000,6162300
PUF60,PUF60,39833000,15218000,63123000,23340000,122470000,43675000,62300000,85486000,192420000,9571500,2505400,31804000,25709000,30877000,4689800,43909000,34711000,23664000
5MP2,BZW1,12720000,6890400,11711000,10549000,37471000,9928900,18109000,21038000,46176000,3316900,882510,8944400,7285100,7616100,1044300,16646000,6613000,3744800
SUCB2,SUCLG2,19878000,5003100,70039000,22818000,38354000,34900000,68508000,66466000,129290000,17738000,5959500,18051000,9076900,22731000,4089500,48143000,12125000,7985300
FBP1L,FNBP1L,1236000,2008500,1392000,929030,3296700,1494500,1365800,1790800,1228700,3634900,2317300,14966000,6347300,3502900,4298300,5065800,3140100,2627900
LSM3,LSM3,12569000,4223900,18873000,6023700,30517000,13721000,19785000,18621000,40254000,3352500,1278400,7504600,7603300,7512000,1638800,9304900,8178700,6417800
KHDR1,KHDRBS1,29710000,22280000,120570000,23551000,231510000,37519000,38388000,49218000,75578000,10345000,4214700,25719000,20862000,30481000,5838900,31227000,36963000,39054000
IF5,EIF5,16922000,7702100,32729000,17166000,61548000,22384000,38037000,50736000,73698000,11461000,533920,15591000,13269000,23745000,2420800,20835000,11168000,6224500
SPEE,SRM,8903800,8384400,53425000,19329000,53544000,19441000,17154000,18177000,42791000,5134900,586280,10513000,15228000,7883700,1709400,17032000,13868000,7151400
C1QBP,C1QBP,63665000,33531000,226450000,42146000,379230000,76371000,111870000,58533000,244190000,31416000,4736400,54010000,42279000,74211000,7883800,105540000,55707000,28712000
PLIN2,PLIN2,6065100,4567400,3891400,1283600,15840000,11846000,7608400,11670000,51091000,3154200,180980,4193700,5747500,13308000,NA,5945900,3091700,1861500
SEC13,SEC13,36530000,37383000,132730000,37044000,227340000,131030000,120740000,123230000,203130000,19672000,924310,62780000,45295000,55043000,6516100,69034000,59900000,27715000
EMC3,EMC3,9354800,3286300,17509000,6043500,22902000,7239000,14142000,17897000,28755000,1325600,293070,4915300,3660700,8529300,2011200,11492000,6793100,2970200
PDIA6,PDIA6,156870000,210000000,463980000,296280000,859270000,406010000,385380000,586000000,817630000,74160000,94797000,157310000,200050000,200270000,39330000,333240000,178370000,107230000
RBM14,RBM14,17775000,3687200,23305000,7515600,65400000,11950000,31474000,35352000,44430000,7362000,3216400,9735300,7313900,15184000,2180400,15632000,12480000,6821500
TBCB,TBCB,10000000,6070400,20780000,7698200,108120000,20535000,22442000,38937000,47925000,6144900,1995800,12116000,10999000,13094000,2975600,18771000,16597000,11055000
A1AG1,ORM1,26458000,86096000,77535000,54678000,37121000,67616000,24823000,21951000,45862000,81310000,253860000,176700000,154300000,91228000,312240000,80748000,57736000,117690000
1433G,YWHAG,90437000,60778000,123820000,55097000,507220000,128840000,161370000,195730000,309040000,46550000,19496000,29772000,54681000,40890000,22197000,166620000,98803000,65757000
SFXN1,SFXN1,19611000,10574000,32966000,6131400,44491000,26389000,22013000,17960000,26747000,1750300,1463000,12460000,9154200,11368000,2454000,14532000,8331600,7557200
HPTR,HPR,3022300,23395000,8247700,20164000,4909000,14978000,11443000,23097000,7107800,13845000,47874000,43624000,65485000,28217000,42987000,45106000,37752000,21416000
SFPQ,SFPQ,82163000,28775000,118100000,51066000,232180000,100300000,141120000,163140000,247500000,23741000,6588600,66257000,40256000,59717000,18167000,80478000,59423000,36745000
HEP2,SERPIND1,13582000,11633000,3756000,12181000,8993400,15638000,11863000,12441000,11671000,40880000,46596000,5443400,49931000,32566000,31849000,36508000,27455000,31809000
ENOPH,ENOPH1,22629000,8577000,46296000,17924000,87408000,28340000,58938000,19701000,67434000,8166900,NA,10319000,16768000,12965000,5922500,23929000,26716000,15519000
LYPA2,LYPLA2,34628000,10085000,48860000,20574000,93805000,25496000,41037000,40317000,62589000,7831800,4132900,6887300,17585000,14960000,3994700,33869000,22760000,14905000
CNRP1,CNRIP1,2925200,2943900,21534000,3532900,7676600,26760000,9299200,11483000,9117700,29603000,14502000,16869000,36698000,26547000,22773000,38990000,51575000,44827000
PDCD5,PDCD5,10877000,3185300,11214000,6939300,33612000,11340000,10312000,7349300,32499000,5151100,1249900,2056300,5374600,5293200,9338100,4004200,6320600,4243000
CHCH2,CHCHD2,17718000,3229200,20847000,13759000,105990000,19732000,36380000,51379000,47124000,5377200,2275500,9479100,11704000,23190000,3586200,15765000,19338000,16228000
PFD5,PFDN5,8950300,7123900,16380000,7305800,51265000,15855000,18842000,17048000,57509000,4583000,644220,10842000,9219900,10719000,1906600,11354000,11800000,6831000
RHOA,RHOA,65387000,50255000,90104000,44734000,117900000,60241000,115020000,121570000,214020000,28210000,6454600,33048000,31532000,53580000,8071600,57693000,53360000,26815000
SSBP,SSBP1,25904000,14767000,39093000,11103000,122880000,26159000,51726000,53323000,64662000,8424300,3394400,22096000,17325000,20204000,3512000,36015000,18121000,10094000
RL7,RPL7,95812000,32315000,256270000,81646000,433260000,105660000,207560000,220060000,386060000,29208000,15127000,63808000,48001000,116170000,22466000,137550000,120880000,64914000
RCN2,RCN2,15583000,4432500,32517000,9876700,103210000,11586000,26941000,34125000,54658000,8561500,2160200,19254000,11267000,20403000,1936500,17100000,12143000,6774200
CPN2,CPN2,8780600,10361000,4325500,6839000,6650200,5000100,3360200,5624800,9546100,23181000,28089000,8369800,20618000,30867000,17737000,19575000,15519000,13662000
SNR40,SNRNP40,7008700,2778900,17871000,7556800,39957000,15296000,26019000,28774000,51561000,4131800,1028900,12785000,5737400,14376000,747730,14948000,8536300,5244100
RFA2,RPA2,9443500,1402900,17479000,8240200,37333000,18255000,20935000,21673000,32257000,4129900,201660,5280600,6601500,8641800,757380,16583000,9455200,5934900
MCTS1,MCTS1,7239300,2884000,15626000,5580100,26589000,9702400,9480100,19466000,29371000,3407100,1321600,6420900,5437100,5887100,1666500,8023400,7148900,4202900
HNRH2,HNRNPH2,27413000,7751700,62642000,23318000,140330000,37462000,54548000,65018000,109500000,10604000,3787900,17692000,21478000,28668000,5984300,48832000,27903000,17804000
RS2,RPS2,33336000,4565600,55413000,19539000,135030000,19720000,30206000,64254000,159110000,13116000,2345100,16277000,22445000,38938000,7271500,47022000,25931000,7693500
RL23,RPL23,34133000,280720,66496000,6910500,217300000,17354000,51118000,50234000,148810000,13785000,2762500,8198000,12953000,2308400,1182200,9112400,8563000,1395600
IF5A1,EIF5A,129380000,44106000,123390000,53411000,422770000,66007000,91259000,213450000,258700000,55587000,30727000,13482000,77556000,49602000,34127000,83605000,82986000,60780000
NDUAD,NDUFA13,8834800,4573500,13476000,4539800,10272000,10594000,9352400,11358000,17631000,1804800,937420,1641300,4947500,1583000,710200,10173000,5661500,4142900
NDUB1,NDUFB1,2649000,1260300,4781300,1912500,2439600,3666800,4301400,4466000,3905100,7777500,2737000,21809000,6004400,14129000,1969700,15598000,10513000,3733500
ALDOC,ALDOC,59727000,50056000,96868000,47337000,177310000,142630000,65810000,98368000,187360000,21666000,8907900,32316000,52043000,34338000,12366000,71499000,49182000,40473000
EFL1,EFL1,1298500,617050,1359000,943480,3828200,1189700,1154400,1833000,3029000,405710,NA,1014100,485800,578950,139170,945260,1055300,712630
2ABA,PPP2R2A,10002000,1652300,14783000,6146800,15373000,5897500,7280400,8201300,17115000,1383600,1152400,6885600,2775100,2695200,2046600,8512700,3551800,1261200
IMB1,KPNB1,56396000,28622000,128230000,35979000,285070000,72257000,79564000,101790000,286260000,33362000,19107000,26155000,53169000,44531000,19646000,66827000,66262000,47075000
NP1L1,NAP1L1,52713000,8783500,129130000,30320000,305890000,52585000,94319000,131660000,248680000,14272000,8560300,56710000,38535000,72958000,10787000,88414000,58166000,20713000
SDF2L,SDF2L1,4667000,5440300,19901000,11558000,20533000,15805000,12788000,25153000,43152000,1336700,898180,10935000,7609800,10122000,1526500,13898000,6624200,2726500
UBC9,UBE2I,6108700,2404000,57383000,12044000,58285000,28773000,16925000,7201100,29004000,5184400,1687400,806890,9200400,7123200,1865100,24498000,16400000,9807400
MOGS,MOGS,7063100,7419200,26493000,12980000,103740000,21365000,45688000,36208000,76940000,9181500,3716500,8845900,14912000,13452000,5412200,30066000,18344000,14963000
SNRPA,SNRPA,31813000,20402000,60592000,21719000,122450000,40831000,60695000,63900000,110440000,12173000,3738000,33423000,25082000,23589000,3106500,38868000,28402000,19402000
ABCE1,ABCE1,18028000,5236800,52264000,14080000,132130000,15715000,35623000,31193000,43983000,13117000,5565000,7310700,9424300,17213000,8282900,16798000,24950000,20165000
AN32B,ANP32B,28394000,4216400,37273000,6462800,62796000,8514600,38318000,22965000,88162000,2649600,658150,4370300,12216000,6934200,946990,9289300,7187000,3258000
MPPA,PMPCA,4462900,263500,2951400,684420,4314400,2189100,3182400,2399600,5852300,555060,NA,1546100,650610,2337800,147850,1987400,1199500,864820
TAP1,TAP1,43253000,10798000,80122000,16657000,133050000,41760000,91186000,112690000,243030000,12209000,4056300,77955000,18168000,68421000,7596000,32415000,32955000,20537000
BGH3,TGFBI,51635000,117710000,22016000,13199000,350340000,33610000,69028000,125260000,25252000,15238000,10996000,42757000,44741000,33900000,7410600,74607000,36810000,20758000
SRS10,SRSF10,7087800,11095000,16463000,11635000,31324000,13361000,15324000,22960000,40662000,5241300,2092400,1606800,8662400,4923000,2540300,14871000,12840000,7665800
FKBP5,FKBP5,6655800,2773300,29956000,3175000,59331000,10275000,17257000,17416000,65114000,5026900,1242500,15813000,5751400,11198000,3809700,17928000,10785000,4009800
DMB,HLA-DMB,21711000,14576000,39322000,9613100,51068000,25524000,81967000,54467000,81340000,10802000,9320800,7039900,9298000,23209000,8156100,46583000,11823000,9474100
