protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
TYOBP,TYROBP,1308600,2939900,1532100,1495800,4950100,1843600,5587300,4318700,7912800,404850,367190,1763400,1275700,3841900,NA,7273900,1820000,940380
PSMG1,PSMG1,1067900,4176500,2396100,2279200,2550100,2474600,2076800,1666000,6976200,413920,897210,2468300,516300,2705400,NA,3966200,1749400,1181400
SRP54,SRP54,9267600,3528400,17085000,8474100,28068000,9471800,16811000,20130000,47176000,965080,591560,4508300,100060000,4741800,732160,11338000,5164600,1730800
CAHM5,CALHM5,279190,801230,674030,233280,1764200,835010,1444100,801610,354870,791790,2098700,1760000,607060,1047700,3405500,983750,1047800,900560
AKTIP,AKTIP,889830,NA,1620200,524820,2996000,899590,1616400,2554400,4328800,48403,NA,967560,748970,287340,152790,2127400,2418300,1741000
ISOC1,ISOC1,8222300,3682400,25188000,9388800,13243000,16202000,14093000,14902000,32772000,13974000,4268300,21088000,16286000,21750000,5595400,25077000,21934000,16976000
BTD,BTD,NA,851900,1402100,674240,653190,594110,887550,570280,1719900,1276000,739750,1184600,1491700,2750400,506580,2987600,1491800,1074700
APOC1,APOC1,4316100,16309000,4415100,3313400,2865000,4606400,3516400,8130300,7356200,10712000,17473000,3695800,7200800,17983000,10740000,8684800,8874600,9551500
MXRA7,MXRA7,7022800,1258600,19170000,4177500,36179000,19065000,17010000,31635000,13789000,6358000,1578500,20737000,17824000,3370800,1846700,5834200,19800000,7782800
CHMP6,CHMP6,4782600,3918200,8474000,3684500,6425900,9656500,6203400,11043000,10006000,4855300,1937100,4290500,5849500,6347100,2644400,9751800,8105600,6797100
RAB14,RAB14,79670000,42363000,116640000,49270000,165710000,92326000,99470000,135640000,261900000,77805000,32838000,123880000,107640000,157870000,39039000,198860000,144830000,97065000
S10AC,S100A12,7624100,227360000,3373100,25854000,4416100,25347000,25764000,14977000,26506000,27045000,16885000,103840000,141260000,12001000,13586000,28996000,23642000,43065000
SDC2,SDC2,770230,217210,1632700,730530,1418100,923930,1342000,2087600,903160,1201300,563920,1340000,2094000,2056500,915010,2511900,3729600,2517700
AL1A2,ALDH1A2,91247,6807900,679130,235000,1343600,1543100,18677000,1227200,38925000,1261000,1454000,9785800,4367000,10157000,2284600,8432200,2024100,806010
S39A8,SLC39A8,2507600,151050,767160,1066800,3430200,1291400,3160700,1700100,5912500,2087900,761570,7633200,3476200,5162900,715960,5484200,5756000,3780500
RAB2B,RAB2B,2558400,4244000,4033300,2504900,9157700,6326000,2793900,3099400,4241100,2611200,996530,7444900,5653500,6020100,603600,3023300,6666400,3639500
3HAO,HAAO,687440,5065000,2460700,1013000,758440,4942000,1185900,1561600,1120500,1475100,2073400,10865000,1966900,5383800,3027400,2285200,2065000,1801100
SPB6,SERPINB6,45834000,22928000,100640000,74467000,195160000,104140000,151650000,127600000,238540000,88253000,39201000,162990000,103100000,138420000,44708000,149250000,147700000,125340000
ADA15,ADAM15,140240,4251700,59136,33503,5799000,711580,31170000,12487000,71456,111080,6338400,336280,36854000,NA,17077000,182500,279960,32773000
COX17,COX17,547720,403620,1433000,441380,953110,620380,2397500,1864500,1243800,619620,499160,3456500,817880,3458900,508280,5078400,1483200,794930
VPS51,VPS51,1319200,958020,3088000,892900,4850900,2129200,2744400,2985800,2928400,1702700,575390,2326200,1798500,3531200,903350,3539900,2813700,2695800
TNR6,FAS,572590,555140,1238200,368500,4836300,889150,1153900,1555600,2499100,461040,220300,2491200,1125700,1287500,390690,868960,1064000,480720
RSU1,RSU1,32274000,32847000,64554000,21177000,49951000,79345000,54126000,65637000,86756000,52792000,24022000,58589000,69084000,48483000,29413000,79007000,95204000,58897000
COQ9,COQ9,5335500,1940900,10773000,3173200,5994400,6999400,9056100,8831200,12838000,3446600,1071600,11418000,5497100,10774000,2016400,9183700,11394000,6527600
SHC1,SHC1,637510,384750,1720400,1132900,1331400,1307100,1336900,1984700,4124500,638090,426220,1218400,1580600,1273700,103350,1401500,1082600,544240
WBP2,WBP2,991580,577400,1281100,516100,4788000,1238000,2096500,1370100,1730600,1037000,2522700,2463300,4550600,2168700,579560,7635900,2505000,926410
CHDH,CHDH,1672300,559430,2183000,285860,778130,228450,672810,530770,1577400,1191400,463600,789040,1986600,675120,1475800,1601400,912910,1999600
MPU1,MPDU1,3449800,1453100,5580500,2926600,7883200,3026300,5824300,4990300,7579900,3367400,860320,2871300,5804200,7598400,794410,9850300,4714600,3153500
ATP5L,ATP5MG,11492000,4879600,22593000,10549000,22917000,13667000,22673000,25911000,44982000,7326200,1667700,8890700,9575100,27516000,3957900,22641000,16396000,10024000
OTULL,OTULINL,149950,254810,825330,293240,1629700,1095400,1802000,1449900,2240800,1093000,NA,3262100,1611100,2545100,392800,2712400,2689100,1486300
PPM1A,PPM1A,5120500,1754100,8565700,5121000,14601000,5922800,12535000,11589000,12937000,4875300,1946200,8876600,11305000,15175000,1071300,14792000,15975000,8497200
TPD53,TPD52L1,1144600,1836200,7202000,1187200,20860000,2040500,1650000,628440,1674800,867550,1780300,6723100,303150,34918000,3512700,10900000,993770,2815800
CDS2,CDS2,8000400,4503900,18077000,4581500,56854000,13385000,16527000,14306000,25446000,7485400,22150000,18107000,13063000,35726000,4590700,23236000,17849000,11033000
ADX,FDX1,660170,158970,2430700,404480,1009800,5520800,2438400,1410400,1240300,966150,NA,4972800,4557600,5696700,1164300,3675700,1021700,2849200
SPTC1,SPTLC1,5378400,6157700,4205500,2277800,11961000,8102400,6086300,6003300,7121400,410470,526990,35189000,4014200,7595900,273640,10054000,3322800,5728200
TSN15,TSPAN15,1348300,10607000,1374900,2435600,12035000,1710000,5391500,2406200,4595500,1547400,329500,13163000,8246800,2436000,886100,4702900,3556000,4412600
KVD11,IGKV3D-11,1455200,3422400,10090000,4095000,5181900,17968000,3065100,12722000,1327000,2015600,1124500,8837500,10033000,3258300,1351300,1083600,4350600,4406600
MYDGF,MYDGF,12078000,10633000,31987000,22274000,37953000,22582000,25596000,38714000,61292000,7697400,2520700,26413000,19501000,31841000,4766500,36629000,20437000,13104000
OCRL,OCRL,180390,882640,449210,1816500,2192400,2730200,400280,504850,410410,797970,133230,2070800,779770,1547700,2820500,766980,1076800,1934500
RIPK1,RIPK1,2148600,862520,1749500,1532000,3005000,1526800,3723900,4520500,6135800,3736700,692530,3832200,3751500,2247300,2121300,5596600,1580800,5072100
SH21A,SH2D1A,283360,451910,2006900,380410,1065400,1596300,1262400,1774400,2777200,186110,25082,2799300,601460,655480,368510,946980,1083100,508070
