logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,protein
3.0543694572583995,23.860131208108008,6.413779340741666,5.820161310604821e-7,6.678153746713211e-4,6.153001048776403,EPB42,6,6.631948832893135,2.459437338490012e-7,3.635048386288238e-4,EPB42
-4.533715902180102,22.425743447516343,-6.098562538475193,1.3555115859363756e-6,6.678153746713211e-4,5.36193187273237,PAR10,2,-6.129542628049001,9.846780774120075e-7,6.157415815485156e-4,PARP10
-3.473919800318601,25.36390008857272,-6.110413376797721,1.3129024227670667e-6,6.678153746713211e-4,5.3918478210727905,RL22,2,-6.0439071875851385,1.249813764983455e-6,6.157415815485156e-4,RPL22
-3.321401683095239,22.95458045199757,-5.6615214496181085,4.43343416601202e-6,9.823598711180223e-4,4.250611919864378,RBP56,2,-5.612885491992747,4.177868490065062e-6,0.0014129625127911566,TAF15
-3.567289024510874,23.830969627658718,-5.686532104837048,4.141370269421504e-6,9.823598711180223e-4,4.314583798642044,RL19,1,-5.549987618138079,4.986082026463333e-6,0.0014129625127911566,RPL19
-3.275333286271472,20.874015892642916,-5.768330201908324,3.778803966680661e-6,9.823598711180223e-4,4.407794262925455,SARNP,1,-5.534712502812667,5.811818863058904e-6,0.0014129625127911566,SARNP
2.7953039534293183,19.579272818352237,5.6438217276856015,4.652583963346519e-6,9.823598711180223e-4,4.2053165877775704,MASP2,1,5.348643400778772,8.789825877478544e-6,0.0014129625127911566,MASP2
-3.9465094881025813,21.763766213841386,-5.3106515236394625,1.1569277209695518e-5,0.001963594441220713,3.349711035366223,ADRM1,2,-5.33753809751367,9.069283123051671e-6,0.0014129625127911566,ADRM1
-4.69259452456242,24.081489625708556,-5.272968568939342,1.4257401715667656e-5,0.001963594441220713,3.1659526900407116,H12,3,-5.364748280092024,9.303072216205742e-6,0.0014129625127911566,H1-2
4.301589412961082,26.948544485688572,5.160974798493541,1.7440970960818037e-5,0.001963594441220713,2.9640204052478243,RAGE,6,5.3188440716303855,9.559962874094428e-6,0.0014129625127911566,AGER
-3.5519185143404037,22.407482527691776,-5.267696655690252,1.4461216416962018e-5,0.001963594441220713,3.152667189262461,FHL2,2,-5.255267329623117,1.2601780253379088e-5,0.0016682789372718693,FHL2
2.7660644102196095,24.24310905699147,5.201136979499651,1.562127249168459e-5,0.001963594441220713,3.0675600061162456,CD36,3,5.195266959854565,1.354488988312749e-5,0.0016682789372718693,CD36
2.6689672007191767,28.01298789992772,5.14394775445338,1.8275215075083316e-5,0.001963594441220713,2.920116037848288,CAV1,3,5.130672848478088,1.6251303723471114e-5,0.0018448543778087842,CAV1
2.405240249684365,27.647684770279906,4.730792148319173,5.679919758591236e-5,0.004222014910566426,1.8548762419551519,EHD2,16,5.104931269499849,1.7474939979244234e-5,0.0018448543778087842,EHD2
2.8511521108729667,24.009292345627205,4.977411169210626,2.8867016937883547e-5,0.0026665906896369924,2.490570944611619,DRA,3,4.99167328648032,2.4049634153930017e-5,0.0023696906186339043,HLA-DRA
2.8307473178767886,23.879564847385303,5.115806494639411,1.974257157998757e-5,0.001963594441220713,2.847545021476275,GLPA,1,4.923038573246897,2.9182363887134332e-5,0.0025468586513247207,GYPA
-2.6501575801646773,27.089738028714663,-4.706349913646069,6.073628954981326e-5,0.004222014910566426,1.7919581373242117,LDHA,8,-4.921683013424559,2.92940440274156e-5,0.0025468586513247207,LDHA
-2.7127421425459417,23.951088697210015,-5.1123962881152005,1.9928225046218334e-5,0.001963594441220713,2.838750108833773,RS6,1,-4.893024249856716,3.175748237552603e-5,0.002607642163945971,RPS6
2.291681998340273,24.734456142846803,4.696120788601614,6.246360065096802e-5,0.004222014910566426,1.7656334820828512,CAVN2,6,4.854718506801032,3.537549728835484e-5,0.0027518413153783394,CAVIN2
2.8681959665957812,25.627095041754533,4.597734555397511,8.178764390302104e-5,0.005036755737027713,1.5126703952999447,HBB,8,4.793494643033575,4.202938266915112e-5,0.0029827492810424443,HBB
2.104850173417894,24.88429779113112,4.693902427137562,6.28446062465909e-5,0.004222014910566426,1.7599250727408808,RRAS,5,4.79054184724402,4.238006420966937e-5,0.0029827492810424443,RRAS
-2.957991213766455,23.560714667436987,-4.664583238979178,6.810306724407742e-5,0.004376362321162888,1.6844984237473017,TM165,3,-4.699640567115586,5.47239933916818e-5,0.0036764573742229865,TMEM165
-3.0613285558188146,26.387958362093727,-4.531386333563109,9.80694537744262e-5,0.005368394543651923,1.3423643650578274,MZB1,6,-4.673911626606596,5.882624025694547e-5,0.0037639890038725344,MZB1
-3.118238611542811,23.507279939348614,-4.545084902422288,9.446307317647865e-5,0.005368394543651923,1.3775052903233922,SPSY,5,-4.660290547003609,6.112025446071774e-5,0.0037639890038725344,SMS
-1.98987898685818,22.760214293853373,-4.8376712131892585,4.236419595373425e-5,0.0036831930364481895,2.130221263186705,NIF3L,2,-4.6277828862823585,6.696049915531174e-5,0.003809355251486184,NIF3L1
-2.75823963366377,23.79686257237439,-4.84785049084199,4.48761900607313e-5,0.003684833828320048,2.0925391407759424,ACPM,1,-4.652752462458976,6.701166206944572e-5,0.003809355251486184,NDUFAB1
1.7122287652975103,25.264108795988232,4.373914990929035,1.507507038246973e-4,0.007513760752679593,0.9393458414273193,PMGE,6,4.533467618158984,8.722825768839983e-5,0.00465409097537148,BPGM
1.9946879749053466,28.527966053680863,4.2702662279283,1.9987933428739266e-4,0.00820615711324351,0.6752120103748949,HBA,9,4.529635115738586,8.816951780135416e-5,0.00465409097537148,HBA1;
